split_layer,drop_rate,sigma,accuracy
6,0.38,2.0,0.12166666666666666
6,0.57,2.0,0.010333333333333333
6,0.76,2.0,0.002
6,0.95,2.0,0.0013333333333333333
7,0.0,0.0,0.703
7,0.19,0.0,0.602
7,0.38,0.0,0.455
7,0.57,0.0,0.193
7,0.76,0.0,0.008
7,0.95,0.0,0.006
7,0.0,0.3,0.5903333333333333
7,0.19,0.3,0.28833333333333333
7,0.38,0.3,0.11066666666666668
7,0.57,0.3,0.018666666666666668
7,0.76,0.3,0.001
7,0.95,0.3,0.001
7,0.0,0.4214,0.5533333333333333
7,0.19,0.4214,0.25466666666666665
7,0.38,0.4214,0.07933333333333333
7,0.57,0.4214,0.015333333333333332
7,0.76,0.4214,0.0
7,0.95,0.4214,0.0013333333333333333
7,0.0,0.5429,0.5096666666666666
7,0.19,0.5429,0.18966666666666665
7,0.38,0.5429,0.042666666666666665
7,0.57,0.5429,0.008666666666666668
7,0.76,0.5429,0.0
7,0.95,0.5429,0.0016666666666666668
7,0.0,0.6643,0.463
7,0.19,0.6643,0.1426666666666667
7,0.38,0.6643,0.028333333333333335
7,0.57,0.6643,0.006333333333333333
7,0.76,0.6643,0.0
7,0.95,0.6643,0.0016666666666666668
7,0.0,0.7857,0.40833333333333327
7,0.19,0.7857,0.09333333333333334
7,0.38,0.7857,0.017
7,0.57,0.7857,0.006000000000000001
7,0.76,0.7857,0.0
7,0.95,0.7857,0.0013333333333333333
7,0.0,0.9071,0.3413333333333333
7,0.19,0.9071,0.05933333333333333
7,0.38,0.9071,0.013666666666666666
7,0.57,0.9071,0.0033333333333333335
7,0.76,0.9071,0.0006666666666666666
7,0.95,0.9071,0.0016666666666666668
7,0.0,1.0286,0.27299999999999996
7,0.19,1.0286,0.03733333333333333
7,0.38,1.0286,0.008
7,0.57,1.0286,0.0036666666666666666
7,0.76,1.0286,0.0006666666666666666
7,0.95,1.0286,0.0023333333333333335
7,0.0,1.15,0.20633333333333334
7,0.19,1.15,0.02033333333333333
7,0.38,1.15,0.008
7,0.57,1.15,0.0036666666666666666
7,0.76,1.15,0.001
7,0.95,1.15,0.0026666666666666666
7,0.0,1.2714,0.15466666666666665
7,0.19,1.2714,0.016333333333333335
7,0.38,1.2714,0.006666666666666667
7,0.57,1.2714,0.0033333333333333335
7,0.76,1.2714,0.0016666666666666668
7,0.95,1.2714,0.0030000000000000005
7,0.0,1.3929,0.111
7,0.19,1.3929,0.012333333333333333
7,0.38,1.3929,0.005
7,0.57,1.3929,0.0030000000000000005
7,0.76,1.3929,0.002
7,0.95,1.3929,0.0036666666666666666
7,0.0,1.5143,0.07100000000000001
7,0.19,1.5143,0.008333333333333333
7,0.38,1.5143,0.004333333333333334
7,0.57,1.5143,0.0030000000000000005
7,0.76,1.5143,0.002
7,0.95,1.5143,0.004
7,0.0,1.6357,0.04833333333333333
7,0.19,1.6357,0.006666666666666667
7,0.38,1.6357,0.004
7,0.57,1.6357,0.0030000000000000005
7,0.76,1.6357,0.002
7,0.95,1.6357,0.0026666666666666666
7,0.0,1.7571,0.03566666666666667
7,0.19,1.7571,0.005666666666666667
7,0.38,1.7571,0.0036666666666666666
7,0.57,1.7571,0.0030000000000000005
7,0.76,1.7571,0.002
7,0.95,1.7571,0.0033333333333333335
7,0.0,1.8786,0.024000000000000004
7,0.19,1.8786,0.004333333333333334
7,0.38,1.8786,0.0036666666666666666
7,0.57,1.8786,0.0026666666666666666
7,0.76,1.8786,0.002
7,0.95,1.8786,0.0030000000000000005
7,0.0,2.0,0.013
7,0.19,2.0,0.0036666666666666666
